Kiosk,Client Nationality,Month,active_contracts,new_contracts,terminations,prev_active,churn_rate,retention_rate,net_change,kiosk_total,share_of_kiosk
Golden Miles,Turkish,2025-11-01,4,0,0,4.0,0.0,1.0,0.0,88,0.045454545454545456
Golden Miles,Ukrainian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,88,0.03409090909090909
Golden Miles,Unknown,2025-11-01,17,1,2,18.0,0.1111111111111111,0.8888888888888888,-1.0,88,0.19318181818181818
Golden Miles,Uzbekistani,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,88,0.011363636363636364
Main center Dubai,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,American,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,145,0.020689655172413793
Main center Dubai,Angolan,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Azerbaijani,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Belarusian,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Belgian,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,145,0.013793103448275862
Main center Dubai,Brazilian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,British,2025-11-01,5,0,1,5.0,0.2,0.8,0.0,145,0.034482758620689655
Main center Dubai,Cameroonian,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Canadian,2025-11-01,5,2,0,5.0,0.0,1.0,0.0,145,0.034482758620689655
Main center Dubai,Chinese,2025-11-01,3,1,0,2.0,0.0,1.0,1.0,145,0.020689655172413793
Main center Dubai,Croatian,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Danish,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Dominican,2025-11-01,3,1,0,2.0,0.0,1.0,1.0,145,0.020689655172413793
Main center Dubai,Dutch,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,145,0.020689655172413793
Main center Dubai,Egyptian,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,145,0.020689655172413793
Main center Dubai,Estonian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Filipina,2025-11-01,9,3,0,7.0,0.0,1.0,2.0,145,0.06206896551724138
Main center Dubai,French,2025-11-01,5,0,0,6.0,0.0,1.0,-1.0,145,0.034482758620689655
Main center Dubai,German,2025-11-01,1,1,1,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Greek,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Indian,2025-11-01,19,2,0,17.0,0.0,1.0,2.0,145,0.1310344827586207
Main center Dubai,Iranian,2025-11-01,4,1,0,3.0,0.0,1.0,1.0,145,0.027586206896551724
Main center Dubai,Irish,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,145,0.020689655172413793
Main center Dubai,Italian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,145,0.013793103448275862
Main center Dubai,Jordanian,2025-11-01,5,1,0,4.0,0.0,1.0,1.0,145,0.034482758620689655
Main center Dubai,Kazakhstani,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Kenyan,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,145,0.013793103448275862
Main center Dubai,Lebanese,2025-11-01,8,1,0,7.0,0.0,1.0,1.0,145,0.05517241379310345
Main center Dubai,Montenegrin,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Pakistani,2025-11-01,3,0,0,3.0,0.0,1.0,0.0,145,0.020689655172413793
Main center Dubai,Russian,2025-11-01,4,1,1,3.0,0.3333333333333333,0.6666666666666667,1.0,145,0.027586206896551724
Main center Dubai,Slovenian,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Sudanese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Syrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Tunisian,2025-11-01,1,1,0,0.0,,,1.0,145,0.006896551724137931
Main center Dubai,Turkish,2025-11-01,4,1,1,3.0,0.3333333333333333,0.6666666666666667,1.0,145,0.027586206896551724
Main center Dubai,UAE,2025-11-01,1,1,1,1.0,1.0,0.0,0.0,145,0.006896551724137931
Main center Dubai,Ugandan,2025-11-01,1,0,1,1.0,1.0,0.0,0.0,145,0.006896551724137931
Main center Dubai,Ukrainian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Main center Dubai,Unknown,2025-11-01,29,7,2,25.0,0.08,0.92,4.0,145,0.2
Main center Dubai,Yemenite,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,145,0.006896551724137931
Mall of Emirates,Algerian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,American,2025-11-01,2,0,0,3.0,0.0,1.0,-1.0,234,0.008547008547008548
Mall of Emirates,Argentinean,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Australian,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,234,0.008547008547008548
Mall of Emirates,Austrian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Azerbaijani,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,234,0.008547008547008548
Mall of Emirates,Bangladeshi,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Brazilian,2025-11-01,1,0,1,1.0,1.0,0.0,0.0,234,0.004273504273504274
Mall of Emirates,British,2025-11-01,24,1,0,24.0,0.0,1.0,0.0,234,0.10256410256410256
Mall of Emirates,Bulgarian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Canadian,2025-11-01,7,0,1,7.0,0.14285714285714285,0.8571428571428572,0.0,234,0.029914529914529916
Mall of Emirates,Chinese,2025-11-01,6,1,0,5.0,0.0,1.0,1.0,234,0.02564102564102564
Mall of Emirates,Colombian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Congolese,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Cypriot,2025-11-01,2,1,0,1.0,0.0,1.0,1.0,234,0.008547008547008548
Mall of Emirates,Dutch,2025-11-01,2,0,0,2.0,0.0,1.0,0.0,234,0.008547008547008548
Mall of Emirates,Egyptian,2025-11-01,4,1,0,4.0,0.0,1.0,0.0,234,0.017094017094017096
Mall of Emirates,Ethiopian,2025-11-01,1,0,0,1.0,0.0,1.0,0.0,234,0.004273504273504274
Mall of Emirates,Filipina,2025-11-01,24,0,0,24.0,0.0,1.0,0.0,234,0.10256410256410256
Mall of Emirates,French,2025-11-01,14,1,0,16.0,0.0,1.0,-2.0,234,0.05982905982905983
Mall of Emirates,German,2025-11-01,1,0,0,2.0,0.0,1.0,-1.0,234,0.004273504273504274
Mall of Emirates,Ghanaian,2025-11-01,1,1,0,0.0,,,1.0,234,0.004273504273504274
