Kiosk,Client Nationality,avg_churn_rate,avg_retention_rate,mean_active,net_change_total,latest_active
Golden Miles,Indian,0.0,1.0,6.0,0.0,6
Golden Miles,Irish,0.0,1.0,1.0,0.0,1
Golden Miles,Israeli,0.0,1.0,1.0,0.0,1
Golden Miles,Italian,0.0,1.0,3.6666666666666665,1.0,4
Golden Miles,Lebanese,0.0,1.0,1.3333333333333333,1.0,2
Golden Miles,New Zealander,0.0,1.0,1.0,0.0,1
Golden Miles,Nigerian,0.0,1.0,1.0,1.0,1
Golden Miles,Pakistani,0.0,1.0,1.0,0.0,1
Golden Miles,Portuguese,0.0,1.0,1.0,0.0,1
Golden Miles,Russian,0.1111111111111111,0.888888888888889,2.6666666666666665,0.0,2
Golden Miles,Saint Kitts And Nevis,0.0,1.0,1.0,1.0,1
Golden Miles,Spanish,,,1.0,1.0,1
Golden Miles,Swedish,0.0,1.0,3.0,0.0,3
Golden Miles,Syrian,1.0,0.0,1.0,0.0,1
Golden Miles,Turkish,0.0,1.0,3.6666666666666665,1.0,4
Golden Miles,Ukrainian,0.0,1.0,3.0,0.0,3
Golden Miles,Unknown,0.1263227513227513,0.8736772486772487,17.0,3.0,17
Golden Miles,Uzbekistani,0.0,1.0,1.0,0.0,1
Main center Dubai,Algerian,0.0,1.0,1.0,1.0,1
Main center Dubai,American,0.0,1.0,3.0,3.0,3
Main center Dubai,Angolan,0.0,1.0,1.0,1.0,1
Main center Dubai,Argentinean,1.0,0.0,1.0,0.0,1
Main center Dubai,Azerbaijani,0.0,1.0,1.0,1.0,1
Main center Dubai,Belarusian,,,1.0,1.0,1
Main center Dubai,Belgian,0.0,1.0,1.3333333333333333,2.0,2
Main center Dubai,Brazilian,0.0,1.0,1.0,1.0,1
Main center Dubai,British,0.1,0.9,4.0,5.0,5
Main center Dubai,Cameroonian,,,1.0,1.0,1
Main center Dubai,Canadian,0.3333333333333333,0.6666666666666667,4.333333333333333,5.0,5
Main center Dubai,Chinese,0.0,1.0,2.0,3.0,3
Main center Dubai,Croatian,,,1.0,1.0,1
Main center Dubai,Danish,0.0,1.0,1.0,1.0,1
Main center Dubai,Dominican,0.0,1.0,2.0,3.0,3
Main center Dubai,Dutch,0.0,1.0,2.6666666666666665,2.0,3
Main center Dubai,Egyptian,0.0,1.0,2.6666666666666665,3.0,3
Main center Dubai,Estonian,0.0,1.0,1.0,1.0,1
Main center Dubai,Filipina,0.1,0.9,7.0,9.0,9
Main center Dubai,French,0.16666666666666666,0.8333333333333334,4.666666666666667,5.0,5
Main center Dubai,German,,,1.0,1.0,1
Main center Dubai,Greek,0.0,1.0,1.0,1.0,1
Main center Dubai,Indian,0.0,1.0,14.666666666666666,19.0,19
Main center Dubai,Iranian,0.0,1.0,3.3333333333333335,4.0,4
Main center Dubai,Irish,0.0,1.0,3.0,3.0,3
Main center Dubai,Italian,0.0,1.0,2.0,1.0,2
Main center Dubai,Jordanian,0.0,1.0,4.5,5.0,5
Main center Dubai,Kazakhstani,,,1.0,1.0,1
Main center Dubai,Kenyan,0.0,1.0,2.0,2.0,2
Main center Dubai,Lebanese,0.0,1.0,5.666666666666667,7.0,8
Main center Dubai,Montenegrin,0.0,1.0,1.0,1.0,1
Main center Dubai,Pakistani,0.0,1.0,2.6666666666666665,3.0,3
Main center Dubai,Romanian,0.5,0.5,1.0,0.0,1
Main center Dubai,Russian,0.16666666666666666,0.8333333333333334,3.3333333333333335,4.0,4
Main center Dubai,Saudi Arabian,1.0,0.0,1.0,1.0,1
Main center Dubai,Slovenian,,,1.0,1.0,1
Main center Dubai,Sudanese,0.0,1.0,1.0,1.0,1
Main center Dubai,Syrian,0.0,1.0,1.0,1.0,1
Main center Dubai,Tunisian,,,1.0,1.0,1
Main center Dubai,Turkish,0.3333333333333333,0.6666666666666667,3.5,4.0,4
Main center Dubai,UAE,1.0,0.0,1.0,1.0,1
Main center Dubai,Ugandan,0.5,0.5,1.0,1.0,1
Main center Dubai,Ukrainian,0.0,1.0,1.0,1.0,1
Main center Dubai,Unknown,0.43142857142857144,0.5685714285714286,22.666666666666668,27.0,29
Main center Dubai,Yemenite,0.0,1.0,1.0,1.0,1
Mall of Emirates,Algerian,0.0,1.0,1.0,1.0,1
Mall of Emirates,American,0.16666666666666666,0.8333333333333334,3.0,-2.0,2
Mall of Emirates,Argentinean,0.0,1.0,1.0,0.0,1
Mall of Emirates,Australian,0.1111111111111111,0.888888888888889,2.3333333333333335,-1.0,2
Mall of Emirates,Austrian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Azerbaijani,0.0,1.0,1.3333333333333333,1.0,2
Mall of Emirates,Bangladeshi,0.0,1.0,1.0,0.0,1
Mall of Emirates,Brazilian,0.3333333333333333,0.6666666666666666,1.0,-2.0,1
Mall of Emirates,British,0.015873015873015872,0.9841269841269842,23.0,3.0,24
Mall of Emirates,Bulgarian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Canadian,0.047619047619047616,0.9523809523809524,6.666666666666667,2.0,7
Mall of Emirates,Chinese,0.0,1.0,5.0,3.0,6
Mall of Emirates,Colombian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Congolese,0.0,1.0,1.0,0.0,1
Mall of Emirates,Cypriot,0.0,1.0,1.3333333333333333,1.0,2
Mall of Emirates,Dutch,0.0,1.0,2.0,1.0,2
Mall of Emirates,Ecuadorean,0.5,0.5,1.0,0.0,1
Mall of Emirates,Egyptian,0.08333333333333333,0.9166666666666666,4.0,0.0,4
Mall of Emirates,Ethiopian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Filipina,0.0,1.0,23.666666666666668,4.0,24
Mall of Emirates,French,0.07692307692307693,0.923076923076923,14.333333333333334,1.0,14
Mall of Emirates,German,0.2222222222222222,0.7777777777777778,2.0,-2.0,1
Mall of Emirates,Ghanaian,,,1.0,1.0,1
Mall of Emirates,Greek,0.0,1.0,1.0,0.0,1
Mall of Emirates,Hungarian,0.0,1.0,1.0,0.0,1
Mall of Emirates,Indian,0.08761904761904761,0.9123809523809524,22.666666666666668,-1.0,20
Mall of Emirates,Iranian,0.0,1.0,2.0,0.0,2
